0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.059,0.06,0.062,0.059,0.058,0.055,0.059,0.064,0.057,0.058,0.06,0.057
B,0.058,0.061,0.057,0.062,0.064,0.074,0.061,0.06,0.061,0.148,0.061,0.059
C,0.06,0.062,0.07,0.062,0.063,0.062,0.061,0.059,0.062,0.059,0.063,0.056
D,0.06,0.061,0.062,0.065,0.06,0.062,0.065,0.058,0.062,0.059,0.061,0.057
E,0.058,0.064,0.059,0.061,0.063,0.058,0.063,0.066,0.063,0.064,0.059,0.06
F,0.063,0.058,0.058,0.058,0.057,0.059,0.063,0.065,0.062,0.06,0.059,0.06
G,0.095,0.061,0.065,0.06,0.058,0.058,0.064,0.059,0.063,0.063,0.061,0.059
H,0.058,0.061,0.061,0.057,0.057,0.057,0.063,0.056,0.06,0.057,0.059,0.06
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
B,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
C,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
D,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
E,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
F,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
G,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
H,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179
B,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179
C,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179
D,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179
E,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179
F,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179
G,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179
H,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179,TH179
