0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.033,0.032,0.033,0.033,0.03,0.033,0.034,0.033,0.032,0.032,0.032,0.043
B,0.033,0.032,0.033,0.032,0.032,0.032,0.033,0.033,0.032,0.033,0.032,0.032
C,0.029,0.031,0.032,0.032,0.031,0.031,0.034,0.033,0.032,0.031,0.031,0.029
D,0.03,0.031,0.032,0.031,0.032,0.032,0.033,0.032,0.032,0.033,0.032,0.031
E,0.03,0.031,0.031,0.033,0.032,0.031,0.034,0.033,0.033,0.033,0.031,0.028
F,0.03,0.032,0.032,0.033,0.031,0.031,0.033,0.032,0.033,0.032,0.031,0.03
G,0.03,0.031,0.032,0.032,0.032,0.033,0.033,0.033,0.032,0.033,0.032,0.031
H,0.03,0.03,0.032,0.032,0.032,0.032,0.035,0.034,0.032,0.033,0.03,0.031
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
B,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
C,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
D,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
E,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
F,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
G,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
H,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237
B,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237
C,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237
D,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237
E,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237
F,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237
G,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237
H,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237,TH237
