0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.047,0.046,0.046,0.044,0.045,0.048,0.042,0.044,0.044,0.044,0.045,0.046
B,0.047,0.047,0.046,0.045,0.045,0.045,0.043,0.043,0.044,0.046,0.046,0.048
C,0.044,0.045,0.045,0.045,0.045,0.047,0.047,0.045,0.046,0.044,0.046,0.042
D,0.049,0.045,0.045,0.047,0.047,0.048,0.048,0.045,0.047,0.05,0.044,0.05
E,0.051,0.045,0.048,0.052,0.045,0.045,0.045,0.046,0.045,0.045,0.047,0.045
F,0.044,0.045,0.044,0.046,0.047,0.044,0.044,0.047,0.045,0.046,0.045,0.047
G,0.047,0.045,0.046,0.043,0.045,0.047,0.045,0.045,0.044,0.047,0.047,0.047
H,0.045,0.045,0.049,0.046,0.045,0.047,0.044,0.046,0.048,0.045,0.047,0.047
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
B,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
C,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
D,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
E,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
F,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
G,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
H,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,3,4,3,4,3,4,3,4,3,4,3,4
B,3,4,3,4,3,4,3,4,3,4,3,4
C,3,4,3,4,3,4,3,4,3,4,3,4
D,3,4,3,4,3,4,3,4,3,4,3,4
E,3,4,3,4,3,4,3,4,3,4,3,4
F,3,4,3,4,3,4,3,4,3,4,3,4
G,3,4,3,4,3,4,3,4,3,4,3,4
H,3,4,3,4,3,4,3,4,3,4,3,4
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
B,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
C,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
D,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
E,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
F,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
G,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
H,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
