Time,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0:39:10,0.077,0.078,0.075,0.074,0.075,0.074,0.073,0.075,0.073,0.073,0.073,0.072,0.076,0.073,0.073,0.075,0.074,0.076,0.073,0.077,0.072,0.074,0.074,0.075,0.072,0.075,0.074,0.079,0.077,0.074,0.075,0.077,0.075,0.073,0.074,0.073,0.074,0.074,0.074,0.077,0.076,0.078,0.08,0.076,0.075,0.074,0.074,0.074,0.075,0.074,0.075,0.078,0.077,0.077,0.078,0.078,0.074,0.075,0.073,0.074,0.075,0.074,0.074,0.077,0.076,0.078,0.078,0.079,0.075,0.073,0.073,0.075,0.073,0.074,0.076,0.076,0.077,0.077,0.076,0.077,0.074,0.074,0.074,0.073,0.075,0.075,0.077,0.08,0.08,0.077,0.076,0.077,0.073,0.073,0.074,0.074
1:19:10,0.11,0.111,0.113,0.109,0.109,0.107,0.102,0.111,0.089,0.094,0.09,0.089,0.111,0.106,0.107,0.114,0.107,0.109,0.106,0.108,0.093,0.095,0.093,0.092,0.109,0.11,0.109,0.114,0.111,0.108,0.109,0.111,0.095,0.094,0.092,0.092,0.109,0.108,0.109,0.113,0.111,0.113,0.114,0.111,0.097,0.095,0.092,0.09,0.109,0.109,0.111,0.116,0.113,0.115,0.114,0.115,0.095,0.096,0.091,0.093,0.11,0.109,0.11,0.115,0.114,0.115,0.114,0.115,0.096,0.093,0.092,0.093,0.108,0.107,0.114,0.115,0.116,0.114,0.113,0.113,0.095,0.096,0.093,0.091,0.112,0.115,0.114,0.12,0.119,0.116,0.112,0.113,0.092,0.089,0.092,0.092
1:59:10,0.156,0.157,0.174,0.15,0.145,0.143,0.14,0.143,0.113,0.115,0.108,0.109,0.166,0.156,0.164,0.156,0.137,0.136,0.135,0.144,0.11,0.112,0.109,0.109,0.168,0.165,0.168,0.16,0.145,0.139,0.136,0.142,0.112,0.111,0.106,0.106,0.165,0.164,0.167,0.163,0.145,0.148,0.142,0.14,0.113,0.112,0.108,0.106,0.17,0.165,0.17,0.171,0.162,0.159,0.146,0.157,0.111,0.113,0.106,0.109,0.167,0.166,0.166,0.171,0.162,0.16,0.152,0.155,0.112,0.111,0.106,0.108,0.167,0.163,0.17,0.171,0.162,0.164,0.153,0.153,0.111,0.112,0.106,0.106,0.167,0.166,0.17,0.176,0.167,0.164,0.15,0.155,0.107,0.103,0.106,0.106
2:39:10,0.221,0.218,0.26,0.185,0.171,0.167,0.155,0.168,0.123,0.124,0.115,0.114,0.243,0.23,0.256,0.194,0.166,0.17,0.162,0.171,0.123,0.124,0.116,0.115,0.257,0.249,0.259,0.218,0.174,0.17,0.163,0.166,0.121,0.121,0.113,0.114,0.251,0.251,0.259,0.222,0.178,0.18,0.168,0.173,0.123,0.122,0.115,0.113,0.263,0.255,0.259,0.253,0.209,0.215,0.189,0.205,0.123,0.124,0.114,0.116,0.256,0.256,0.255,0.253,0.229,0.225,0.199,0.206,0.122,0.122,0.114,0.117,0.262,0.252,0.251,0.25,0.227,0.227,0.203,0.208,0.12,0.123,0.115,0.114,0.258,0.257,0.251,0.253,0.235,0.224,0.2,0.204,0.119,0.111,0.114,0.114
3:19:10,0.311,0.304,0.384,0.192,0.164,0.152,0.148,0.154,0.116,0.119,0.109,0.106,0.34,0.339,0.381,0.212,0.163,0.158,0.15,0.155,0.116,0.117,0.11,0.11,0.37,0.375,0.397,0.265,0.179,0.173,0.155,0.16,0.114,0.115,0.106,0.106,0.372,0.38,0.391,0.288,0.183,0.183,0.162,0.168,0.115,0.115,0.108,0.107,0.388,0.393,0.397,0.363,0.263,0.277,0.216,0.227,0.115,0.118,0.106,0.111,0.39,0.393,0.391,0.371,0.295,0.293,0.244,0.262,0.116,0.115,0.108,0.111,0.387,0.38,0.364,0.371,0.312,0.311,0.255,0.26,0.114,0.118,0.107,0.108,0.388,0.382,0.365,0.364,0.322,0.289,0.229,0.254,0.115,0.104,0.109,0.108
3:59:10,0.408,0.408,0.539,0.173,0.133,0.123,0.123,0.123,0.107,0.11,0.1,0.099,0.464,0.468,0.571,0.211,0.135,0.131,0.12,0.127,0.108,0.109,0.102,0.101,0.522,0.56,0.605,0.309,0.158,0.155,0.134,0.137,0.107,0.107,0.099,0.1,0.552,0.57,0.597,0.382,0.176,0.179,0.143,0.148,0.108,0.107,0.1,0.099,0.571,0.591,0.6,0.549,0.338,0.34,0.218,0.254,0.107,0.11,0.098,0.102,0.58,0.592,0.591,0.566,0.411,0.375,0.283,0.315,0.107,0.107,0.1,0.103,0.559,0.564,0.563,0.56,0.437,0.425,0.306,0.337,0.106,0.109,0.099,0.1,0.571,0.564,0.56,0.525,0.425,0.386,0.272,0.308,0.105,0.097,0.101,0.101
4:39:10,0.573,0.557,0.726,0.155,0.108,0.104,0.102,0.104,0.098,0.101,0.093,0.09,0.641,0.644,0.763,0.205,0.112,0.112,0.099,0.102,0.101,0.103,0.095,0.095,0.723,0.755,0.795,0.403,0.146,0.138,0.113,0.119,0.1,0.1,0.091,0.092,0.738,0.763,0.791,0.536,0.168,0.169,0.127,0.13,0.101,0.099,0.093,0.091,0.759,0.785,0.781,0.745,0.458,0.47,0.228,0.275,0.099,0.101,0.092,0.095,0.764,0.778,0.773,0.758,0.587,0.537,0.339,0.396,0.1,0.098,0.094,0.096,0.731,0.765,0.758,0.752,0.602,0.605,0.387,0.443,0.099,0.101,0.092,0.093,0.756,0.747,0.749,0.728,0.613,0.549,0.329,0.423,0.098,0.091,0.094,0.094
5:19:10,0.693,0.674,0.898,0.141,0.096,0.091,0.09,0.092,0.09,0.094,0.085,0.083,0.793,0.797,0.94,0.202,0.102,0.097,0.088,0.091,0.093,0.095,0.088,0.087,0.896,0.93,0.977,0.475,0.133,0.128,0.1,0.103,0.094,0.093,0.085,0.088,0.916,0.939,0.972,0.688,0.166,0.163,0.115,0.119,0.094,0.093,0.087,0.085,0.939,0.966,0.969,0.959,0.557,0.565,0.235,0.31,0.093,0.095,0.085,0.088,0.945,0.96,0.964,0.974,0.729,0.647,0.382,0.461,0.093,0.091,0.086,0.089,0.908,0.94,0.972,0.96,0.77,0.75,0.435,0.514,0.091,0.094,0.085,0.087,0.932,0.923,0.963,0.933,0.778,0.68,0.358,0.478,0.09,0.084,0.088,0.088
5:59:10,0.809,0.789,1.108,0.138,0.089,0.083,0.081,0.082,0.082,0.084,0.078,0.076,0.952,0.955,1.152,0.203,0.091,0.089,0.079,0.082,0.085,0.089,0.08,0.08,1.106,1.134,1.192,0.564,0.124,0.119,0.09,0.094,0.087,0.086,0.079,0.079,1.123,1.153,1.186,0.843,0.157,0.157,0.105,0.109,0.087,0.085,0.08,0.078,1.144,1.175,1.184,1.197,0.661,0.668,0.24,0.329,0.086,0.088,0.079,0.081,1.15,1.172,1.176,1.209,0.907,0.773,0.402,0.516,0.085,0.084,0.08,0.083,1.113,1.142,1.21,1.201,0.961,0.929,0.487,0.595,0.084,0.087,0.079,0.08,1.13,1.126,1.183,1.153,0.935,0.802,0.363,0.525,0.085,0.078,0.082,0.083
6:39:10,0.911,0.9,1.246,0.13,0.082,0.077,0.075,0.077,0.075,0.075,0.071,0.069,1.105,1.124,1.301,0.198,0.085,0.08,0.072,0.077,0.079,0.082,0.073,0.073,1.253,1.283,1.333,0.654,0.117,0.112,0.086,0.086,0.079,0.079,0.073,0.073,1.261,1.295,1.32,1.016,0.158,0.149,0.096,0.101,0.08,0.08,0.074,0.072,1.284,1.309,1.315,1.303,0.801,0.809,0.234,0.352,0.08,0.08,0.072,0.075,1.286,1.304,1.308,1.315,1.096,0.943,0.447,0.586,0.078,0.078,0.073,0.075,1.252,1.286,1.312,1.306,1.144,1.121,0.53,0.696,0.077,0.08,0.072,0.074,1.261,1.263,1.285,1.267,1.113,0.95,0.376,0.571,0.078,0.073,0.076,0.077
