0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.049,0.05,0.049,0.048,0.047,0.048,0.048,0.049,0.049,0.05,0.05,0.049
B,0.05,0.052,0.051,0.05,0.052,0.055,0.052,0.055,0.053,0.054,0.051,0.049
C,0.049,0.052,0.051,0.052,0.054,0.051,0.053,0.051,0.054,0.054,0.052,0.049
D,0.05,0.052,0.051,0.054,0.052,0.054,0.055,0.056,0.054,0.054,0.051,0.049
E,0.051,0.05,0.051,0.053,0.052,0.053,0.054,0.051,0.051,0.052,0.05,0.05
F,0.051,0.05,0.051,0.052,0.052,0.05,0.051,0.054,0.051,0.05,0.05,0.05
G,0.049,0.051,0.052,0.056,0.054,0.051,0.055,0.052,0.053,0.052,0.054,0.049
H,0.05,0.051,0.05,0.052,0.051,0.058,0.051,0.051,0.051,0.05,0.051,0.05
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
B,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
C,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
D,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
E,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
F,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
G,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
H,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,3,4,3,4,3,4,3,4,3,4,3,4
B,3,4,3,4,3,4,3,4,3,4,3,4
C,3,4,3,4,3,4,3,4,3,4,3,4
D,3,4,3,4,3,4,3,4,3,4,3,4
E,3,4,3,4,3,4,3,4,3,4,3,4
F,3,4,3,4,3,4,3,4,3,4,3,4
G,3,4,3,4,3,4,3,4,3,4,3,4
H,3,4,3,4,3,4,3,4,3,4,3,4
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128
B,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128
C,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128
D,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128
E,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128
F,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128
G,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128
H,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128,TH128
