0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.035,0.032,0.032,0.035,0.032,0.032,0.033,0.032,0.032,0.033,0.036,0.042
B,0.033,0.033,0.032,0.033,0.032,0.033,0.032,0.032,0.032,0.035,0.04,0.031
C,0.031,0.035,0.033,0.035,0.032,0.031,0.032,0.034,0.032,0.043,0.031,0.03
D,0.033,0.032,0.032,0.032,0.031,0.034,0.045,0.033,0.033,0.034,0.03,0.031
E,0.033,0.031,0.037,0.033,0.031,0.033,0.038,0.034,0.034,0.034,0.031,0.03
F,0.032,0.031,0.035,0.03,0.034,0.034,0.033,0.05,0.032,0.035,0.03,0.03
G,0.034,0.032,0.032,0.033,0.041,0.039,0.045,0.032,0.032,0.038,0.035,0.03
H,0.032,0.031,0.031,0.033,0.037,0.042,0.032,0.032,0.035,0.032,0.03,0.035
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
B,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
C,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
D,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
E,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
F,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
G,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
H,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249
B,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249
C,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249
D,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249
E,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249
F,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249
G,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249
H,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249,TH249
