0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.037,0.035,0.034,0.033,0.035,0.033,0.037,0.037,0.036,0.035,0.036,0.035
B,0.035,0.034,0.036,0.035,0.037,0.036,0.038,0.038,0.036,0.037,0.035,0.035
C,0.033,0.034,0.034,0.033,0.033,0.035,0.036,0.035,0.036,0.035,0.035,0.033
D,0.033,0.036,0.033,0.036,0.035,0.035,0.037,0.037,0.035,0.035,0.035,0.036
E,0.034,0.035,0.036,0.033,0.036,0.035,0.037,0.036,0.037,0.037,0.036,0.035
F,0.034,0.035,0.035,0.033,0.033,0.036,0.036,0.038,0.036,0.037,0.036,0.034
G,0.034,0.036,0.037,0.034,0.035,0.036,0.036,0.037,0.036,0.036,0.036,0.034
H,0.036,0.034,0.035,0.037,0.036,0.036,0.037,0.037,0.036,0.037,0.035,0.035
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
B,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
C,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
D,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
E,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
F,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
G,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
H,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240
B,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240
C,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240
D,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240
E,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240
F,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240
G,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240
H,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240,TH240
