0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.053,0.05,0.047,0.044,0.045,0.042,0.043,0.046,0.045,0.046,0.046,0.045
B,0.052,0.053,0.051,0.052,0.048,0.051,0.048,0.05,0.047,0.048,0.047,0.046
C,0.049,0.053,0.051,0.052,0.052,0.051,0.052,0.051,0.051,0.05,0.05,0.049
D,0.05,0.05,0.051,0.051,0.051,0.051,0.052,0.05,0.05,0.048,0.049,0.048
E,0.053,0.052,0.049,0.049,0.047,0.048,0.051,0.049,0.048,0.048,0.047,0.048
F,0.051,0.053,0.049,0.048,0.045,0.051,0.049,0.05,0.05,0.048,0.048,0.048
G,0.049,0.05,0.049,0.05,0.05,0.05,0.051,0.05,0.05,0.048,0.048,0.049
H,0.05,0.05,0.049,0.052,0.048,0.048,0.048,0.049,0.049,0.047,0.049,0.048
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
B,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
C,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
D,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
E,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
F,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
G,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
H,0,0,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5,1,1
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
B,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
C,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
D,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
E,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
F,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
G,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
H,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177,TH177
