Time,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0:39:10,0.051,0.057,0.057,0.051,0.058,0.057,0.056,0.056,0.054,0.058,0.056,0.056,0.056,0.054,0.051,0.053,0.049,0.054,0.051,0.05,0.049,0.059,0.055,0.056,0.057,0.054,0.055,0.053,0.054,0.049,0.048,0.05,0.048,0.053,0.065,0.054,0.054,0.053,0.052,0.052,0.05,0.052,0.051,0.056,0.056,0.052,0.058,0.064,0.052,0.054,0.052,0.054,0.055,0.053,0.049,0.052,0.054,0.053,0.057,0.055,0.055,0.054,0.053,0.051,0.054,0.052,0.049,0.054,0.055,0.053,0.051,0.056,0.056,0.053,0.054,0.053,0.056,0.059,0.051,0.052,0.051,0.05,0.054,0.054,0.053,0.058,0.061,0.057,0.056,0.057,0.054,0.055,0.056,0.054,0.056,0.054
1:19:10,0.062,0.069,0.064,0.062,0.068,0.066,0.061,0.063,0.065,0.065,0.061,0.061,0.071,0.062,0.056,0.059,0.062,0.067,0.055,0.055,0.059,0.064,0.061,0.064,0.068,0.068,0.058,0.059,0.066,0.057,0.052,0.058,0.054,0.061,0.071,0.061,0.068,0.066,0.056,0.057,0.055,0.065,0.058,0.062,0.064,0.061,0.062,0.064,0.068,0.068,0.063,0.067,0.063,0.064,0.052,0.058,0.063,0.055,0.061,0.061,0.07,0.067,0.063,0.066,0.07,0.063,0.052,0.055,0.059,0.056,0.058,0.06,0.073,0.068,0.065,0.064,0.065,0.07,0.062,0.057,0.057,0.053,0.059,0.063,0.067,0.08,0.074,0.077,0.073,0.071,0.061,0.061,0.065,0.06,0.061,0.061
1:59:10,0.068,0.087,0.074,0.066,0.07,0.071,0.069,0.072,0.068,0.073,0.061,0.066,0.083,0.07,0.06,0.067,0.073,0.073,0.064,0.06,0.067,0.069,0.071,0.069,0.09,0.082,0.062,0.07,0.07,0.066,0.068,0.071,0.066,0.069,0.073,0.066,0.096,0.083,0.061,0.062,0.058,0.07,0.07,0.067,0.068,0.067,0.066,0.07,0.091,0.091,0.075,0.082,0.071,0.079,0.053,0.06,0.064,0.064,0.066,0.065,0.096,0.089,0.074,0.085,0.084,0.073,0.056,0.06,0.069,0.06,0.062,0.064,0.1,0.093,0.079,0.079,0.079,0.086,0.064,0.061,0.06,0.056,0.065,0.067,0.099,0.108,0.097,0.098,0.095,0.087,0.068,0.069,0.066,0.066,0.065,0.066
2:39:10,0.075,0.09,0.077,0.065,0.074,0.076,0.071,0.075,0.071,0.07,0.071,0.071,0.092,0.082,0.063,0.077,0.085,0.08,0.066,0.076,0.073,0.071,0.071,0.077,0.115,0.114,0.072,0.076,0.072,0.077,0.07,0.073,0.071,0.073,0.077,0.069,0.124,0.108,0.062,0.066,0.076,0.082,0.074,0.07,0.068,0.072,0.07,0.073,0.14,0.118,0.087,0.1,0.076,0.091,0.056,0.066,0.065,0.066,0.069,0.07,0.137,0.117,0.088,0.11,0.103,0.084,0.057,0.065,0.073,0.07,0.072,0.069,0.139,0.123,0.097,0.108,0.101,0.108,0.071,0.063,0.061,0.061,0.066,0.068,0.138,0.142,0.121,0.12,0.113,0.109,0.075,0.077,0.073,0.074,0.074,0.067
3:19:10,0.092,0.106,0.082,0.076,0.078,0.077,0.072,0.074,0.075,0.074,0.068,0.076,0.107,0.108,0.083,0.086,0.079,0.083,0.073,0.075,0.076,0.075,0.073,0.072,0.144,0.148,0.083,0.083,0.08,0.079,0.071,0.073,0.071,0.071,0.075,0.07,0.161,0.154,0.088,0.077,0.081,0.081,0.07,0.075,0.068,0.075,0.072,0.074,0.187,0.181,0.117,0.12,0.1,0.101,0.063,0.067,0.071,0.075,0.07,0.073,0.191,0.157,0.122,0.137,0.114,0.12,0.067,0.077,0.074,0.071,0.071,0.072,0.188,0.167,0.138,0.137,0.123,0.137,0.075,0.076,0.076,0.07,0.073,0.076,0.193,0.191,0.152,0.149,0.135,0.139,0.079,0.076,0.079,0.077,0.069,0.069
3:59:10,0.094,0.106,0.08,0.076,0.077,0.075,0.073,0.077,0.073,0.073,0.073,0.074,0.116,0.12,0.085,0.089,0.083,0.081,0.076,0.075,0.075,0.074,0.069,0.075,0.185,0.191,0.086,0.084,0.075,0.084,0.07,0.075,0.072,0.073,0.08,0.069,0.218,0.199,0.087,0.083,0.077,0.081,0.072,0.072,0.072,0.076,0.075,0.075,0.258,0.244,0.133,0.133,0.115,0.112,0.07,0.075,0.076,0.071,0.07,0.071,0.263,0.241,0.143,0.165,0.127,0.137,0.075,0.075,0.075,0.067,0.07,0.071,0.263,0.249,0.171,0.185,0.15,0.158,0.075,0.079,0.078,0.079,0.076,0.075,0.261,0.273,0.188,0.191,0.167,0.163,0.08,0.08,0.081,0.074,0.068,0.073
4:39:10,0.104,0.109,0.08,0.077,0.072,0.072,0.066,0.074,0.073,0.069,0.067,0.069,0.134,0.13,0.082,0.084,0.083,0.08,0.073,0.072,0.073,0.075,0.067,0.071,0.23,0.237,0.084,0.083,0.073,0.076,0.068,0.073,0.067,0.069,0.079,0.069,0.284,0.269,0.088,0.082,0.075,0.081,0.069,0.067,0.072,0.07,0.069,0.071,0.346,0.347,0.155,0.156,0.114,0.121,0.07,0.074,0.068,0.074,0.073,0.069,0.362,0.334,0.168,0.204,0.14,0.165,0.073,0.074,0.072,0.077,0.069,0.072,0.368,0.355,0.225,0.233,0.185,0.189,0.074,0.076,0.077,0.08,0.076,0.071,0.372,0.372,0.243,0.261,0.2,0.198,0.079,0.078,0.077,0.077,0.071,0.073
5:19:10,0.108,0.105,0.071,0.079,0.067,0.067,0.064,0.067,0.07,0.067,0.064,0.064,0.143,0.14,0.081,0.082,0.074,0.077,0.07,0.069,0.072,0.069,0.064,0.067,0.297,0.312,0.081,0.079,0.071,0.076,0.064,0.071,0.069,0.066,0.075,0.066,0.38,0.38,0.088,0.084,0.076,0.079,0.069,0.068,0.067,0.068,0.068,0.065,0.465,0.465,0.191,0.184,0.116,0.125,0.071,0.066,0.067,0.068,0.068,0.068,0.486,0.457,0.22,0.265,0.16,0.203,0.07,0.071,0.071,0.064,0.071,0.069,0.483,0.492,0.3,0.295,0.232,0.237,0.071,0.073,0.072,0.074,0.076,0.069,0.491,0.49,0.315,0.335,0.268,0.243,0.076,0.075,0.076,0.071,0.071,0.069
5:59:10,0.108,0.11,0.07,0.08,0.066,0.065,0.06,0.066,0.066,0.065,0.061,0.064,0.155,0.157,0.08,0.079,0.073,0.076,0.065,0.067,0.065,0.07,0.061,0.064,0.378,0.396,0.08,0.075,0.066,0.071,0.064,0.065,0.064,0.064,0.068,0.061,0.504,0.483,0.085,0.084,0.072,0.076,0.067,0.063,0.065,0.066,0.065,0.063,0.69,0.687,0.232,0.223,0.124,0.145,0.064,0.069,0.068,0.064,0.064,0.065,0.712,0.683,0.276,0.337,0.196,0.238,0.067,0.067,0.068,0.065,0.068,0.066,0.719,0.71,0.387,0.396,0.282,0.297,0.067,0.072,0.071,0.068,0.074,0.063,0.716,0.708,0.417,0.43,0.308,0.311,0.073,0.077,0.072,0.069,0.074,0.06
6:39:10,0.125,0.118,0.069,0.069,0.06,0.061,0.057,0.061,0.063,0.061,0.056,0.058,0.166,0.174,0.075,0.079,0.07,0.072,0.064,0.062,0.063,0.066,0.059,0.06,0.481,0.498,0.079,0.072,0.067,0.068,0.064,0.064,0.062,0.062,0.065,0.057,0.721,0.715,0.08,0.083,0.07,0.072,0.061,0.062,0.063,0.063,0.064,0.062,0.833,0.845,0.285,0.279,0.128,0.152,0.065,0.062,0.062,0.065,0.061,0.061,0.862,0.828,0.323,0.423,0.243,0.303,0.065,0.066,0.067,0.107,0.064,0.06,0.869,0.857,0.495,0.582,0.342,0.368,0.067,0.069,0.068,0.07,0.071,0.06,0.875,0.86,0.61,0.652,0.392,0.387,0.068,0.071,0.072,0.065,0.065,0.056
